Dataset,Mean Result,Stddev Result,Ratio
esol,1.2970960811486052,0.007237143530964732,0.25
esol,1.2860071226405796,0.011027249975066017,0.5
esol,1.3040875720336402,0.027351254271867482,0.75
esol,1.2916571363267308,0.015856493018800953,1.0
freesolv,2.9325922639026607,0.2253106122852589,0.25
freesolv,2.867891486705045,0.03986075223557977,0.5
freesolv,2.7600547131241826,0.06615601404138385,0.75
freesolv,4.815762890985301,0.8274182173930581,1.0
lipophilicity,0.7592741244579743,0.0033359209575735934,0.25
lipophilicity,0.7638536188426001,0.0024781743547114066,0.5
lipophilicity,0.7711451128621646,0.004207081297069929,0.75
lipophilicity,0.792533784285996,0.006215177883103764,1.0
qm7,94.26592947398122,1.4143997335266907,0.25
qm7,95.90621638508877,2.4047932575895135,0.5
qm7,91.84747649863499,2.499652515284411,0.75
qm7,89.6867682954147,2.088589982056597,1.0
qm8,0.019131074853883632,0.00023275475132693115,0.25
qm8,0.018848718301869235,0.00020036988868553412,0.5
qm8,0.018949140322962434,5.530335626797035e-05,0.75
qm8,0.0189263679256416,0.00010544757767618439,1.0
bace,0.8079174636295138,0.0023350416830097585,0.25
bace,0.8249000173882802,0.006503774720662554,0.5
bace,0.794238683127572,0.006872954705403735,0.75
bace,0.7382484205645395,0.0046310750258942235,1.0
hiv,0.7613157200151927,0.01379333200542325,0.25
hiv,0.7579401559190663,0.0077586415738552066,0.5
hiv,0.750000321880814,0.012616944514171405,0.75
hiv,0.754920592003193,0.011732232247464584,1.0
bbbp,0.6541923868312757,0.0048574481798584245,0.25
bbbp,0.6561535493827161,0.010265989125116204,0.5
bbbp,0.6284400720164608,0.006704763348169513,0.75
bbbp,0.6875643004115227,0.013538290932281866,1.0
tox21,0.7667447061012201,0.0023648951660789675,0.25
tox21,0.75100144635149,0.006110788046401782,0.5
tox21,0.7637117617872696,0.0014878930372027987,0.75
tox21,0.7433802569873045,0.0046923300529418885,1.0
toxcast,0.6338179277039737,0.003973917123829264,0.25
toxcast,0.6408668769261078,0.005939464811189486,0.5
toxcast,0.639523783043134,0.0009395862992613717,0.75
toxcast,0.6114600746328805,0.0052760514795311955,1.0
clintox,0.7997507790868754,0.0032584017490721717,0.25
clintox,0.791151716308113,0.00259282117325426,0.5
clintox,0.6507449113173229,0.012667836274961165,0.75
clintox,0.6166940360754875,0.01866972733331388,1.0
sider,0.601527777392394,0.014349942349121134,0.25
sider,0.5984873786560668,0.0022331795461536176,0.5
sider,0.6036985139886467,0.0015167877692909022,0.75
sider,0.5919591052299985,0.005532272298307152,1.0
